Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO?eq/kWh (direct),Carbon Intensity gCO?eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023/1/1 0:00,Canada,Qu¨¦bec,CA-QC,0.54,28.21,99.86,98.86,hydroquebec.com,FALSE,
2023/1/1 1:00,Canada,Qu¨¦bec,CA-QC,0.7,28.52,99.81,98.51,hydroquebec.com,FALSE,
2023/1/1 2:00,Canada,Qu¨¦bec,CA-QC,0.76,28.81,99.8,98.57,hydroquebec.com,FALSE,
2023/1/1 3:00,Canada,Qu¨¦bec,CA-QC,0.82,29.04,99.78,98.47,hydroquebec.com,FALSE,
2023/1/1 4:00,Canada,Qu¨¦bec,CA-QC,0.43,28.62,99.88,98.58,hydroquebec.com,FALSE,
2023/1/1 5:00,Canada,Qu¨¦bec,CA-QC,0.17,28.47,99.95,99.06,hydroquebec.com,FALSE,
2023/1/1 6:00,Canada,Qu¨¦bec,CA-QC,0.05,28.64,99.99,99.02,hydroquebec.com,FALSE,
2023/1/1 7:00,Canada,Qu¨¦bec,CA-QC,0.05,29.05,99.99,99.02,hydroquebec.com,FALSE,
2023/1/1 8:00,Canada,Qu¨¦bec,CA-QC,0.05,29.12,99.99,99.02,hydroquebec.com,FALSE,
2023/1/1 9:00,Canada,Qu¨¦bec,CA-QC,0.04,29.04,99.99,99.09,hydroquebec.com,FALSE,
2023/1/1 10:00,Canada,Qu¨¦bec,CA-QC,0.05,28.91,99.99,99.07,hydroquebec.com,FALSE,
2023/1/1 11:00,Canada,Qu¨¦bec,CA-QC,0.09,28.72,99.98,98.94,hydroquebec.com,FALSE,
2023/1/1 12:00,Canada,Qu¨¦bec,CA-QC,0.37,28.72,99.9,98.15,hydroquebec.com,FALSE,
2023/1/1 13:00,Canada,Qu¨¦bec,CA-QC,0.5,28.87,99.86,98.47,hydroquebec.com,FALSE,
2023/1/1 14:00,Canada,Qu¨¦bec,CA-QC,0.71,28.99,99.81,98.28,hydroquebec.com,FALSE,
2023/1/1 15:00,Canada,Qu¨¦bec,CA-QC,0.62,28.92,99.83,98.65,hydroquebec.com,FALSE,
2023/1/1 16:00,Canada,Qu¨¦bec,CA-QC,1.28,29.55,99.66,97.64,hydroquebec.com,FALSE,
2023/1/1 17:00,Canada,Qu¨¦bec,CA-QC,0.68,29.11,99.82,98.85,hydroquebec.com,FALSE,
2023/1/1 18:00,Canada,Qu¨¦bec,CA-QC,0.63,29.06,99.83,98.96,hydroquebec.com,FALSE,
2023/1/1 19:00,Canada,Qu¨¦bec,CA-QC,0.57,29.01,99.85,98.99,hydroquebec.com,FALSE,
2023/1/1 20:00,Canada,Qu¨¦bec,CA-QC,0.26,28.64,99.93,99.36,hydroquebec.com,FALSE,
2023/1/1 21:00,Canada,Qu¨¦bec,CA-QC,0.26,28.44,99.93,99.38,hydroquebec.com,FALSE,
2023/1/1 22:00,Canada,Qu¨¦bec,CA-QC,0.33,28.36,99.91,99.38,hydroquebec.com,FALSE,
2023/1/1 23:00,Canada,Qu¨¦bec,CA-QC,0.65,28.65,99.82,98.95,hydroquebec.com,FALSE,
2023/1/2 0:00,Canada,Qu¨¦bec,CA-QC,0.54,28.56,99.85,99.12,hydroquebec.com,FALSE,
2023/1/2 1:00,Canada,Qu¨¦bec,CA-QC,0.53,28.57,99.86,98.89,hydroquebec.com,FALSE,
2023/1/2 2:00,Canada,Qu¨¦bec,CA-QC,0.3,28.46,99.92,99.26,hydroquebec.com,FALSE,
2023/1/2 3:00,Canada,Qu¨¦bec,CA-QC,0.37,28.59,99.9,99.05,hydroquebec.com,FALSE,
2023/1/2 4:00,Canada,Qu¨¦bec,CA-QC,0.28,28.63,99.92,99.03,hydroquebec.com,FALSE,
2023/1/2 5:00,Canada,Qu¨¦bec,CA-QC,0.17,28.54,99.95,99.02,hydroquebec.com,FALSE,
2023/1/2 6:00,Canada,Qu¨¦bec,CA-QC,0.07,28.33,99.98,98.62,hydroquebec.com,FALSE,
2023/1/2 7:00,Canada,Qu¨¦bec,CA-QC,0.07,28.35,99.98,98.55,hydroquebec.com,FALSE,
2023/1/2 8:00,Canada,Qu¨¦bec,CA-QC,0.08,28.31,99.98,98.31,hydroquebec.com,FALSE,
2023/1/2 9:00,Canada,Qu¨¦bec,CA-QC,0.12,28.5,99.97,98.9,hydroquebec.com,FALSE,
2023/1/2 10:00,Canada,Qu¨¦bec,CA-QC,0.29,28.68,99.92,98.98,hydroquebec.com,FALSE,
2023/1/2 11:00,Canada,Qu¨¦bec,CA-QC,0.75,29.04,99.8,98.43,hydroquebec.com,FALSE,
2023/1/2 12:00,Canada,Qu¨¦bec,CA-QC,0.82,29.05,99.78,98.59,hydroquebec.com,FALSE,
2023/1/2 13:00,Canada,Qu¨¦bec,CA-QC,0.86,28.96,99.77,98.67,hydroquebec.com,FALSE,
2023/1/2 14:00,Canada,Qu¨¦bec,CA-QC,0.83,28.83,99.77,98.73,hydroquebec.com,FALSE,
2023/1/2 15:00,Canada,Qu¨¦bec,CA-QC,0.8,28.77,99.78,98.78,hydroquebec.com,FALSE,
2023/1/2 16:00,Canada,Qu¨¦bec,CA-QC,0.56,28.53,99.85,99.15,hydroquebec.com,FALSE,
2023/1/2 17:00,Canada,Qu¨¦bec,CA-QC,0.56,28.56,99.85,99.15,hydroquebec.com,FALSE,
2023/1/2 18:00,Canada,Qu¨¦bec,CA-QC,0.54,28.62,99.85,99.19,hydroquebec.com,FALSE,
2023/1/2 19:00,Canada,Qu¨¦bec,CA-QC,0.17,28.3,99.95,99.75,hydroquebec.com,FALSE,
2023/1/2 20:00,Canada,Qu¨¦bec,CA-QC,0.06,28.12,99.98,99.91,hydroquebec.com,FALSE,
2023/1/2 21:00,Canada,Qu¨¦bec,CA-QC,0.14,28.01,99.96,99.79,hydroquebec.com,FALSE,
2023/1/2 22:00,Canada,Qu¨¦bec,CA-QC,0.27,28.01,99.93,99.64,hydroquebec.com,FALSE,
2023/1/2 23:00,Canada,Qu¨¦bec,CA-QC,0.07,27.77,99.98,99.92,hydroquebec.com,FALSE,
2023/1/3 0:00,Canada,Qu¨¦bec,CA-QC,0.07,27.84,99.98,99.92,hydroquebec.com,FALSE,
2023/1/3 1:00,Canada,Qu¨¦bec,CA-QC,0.06,27.98,99.98,99.92,hydroquebec.com,FALSE,
2023/1/3 2:00,Canada,Qu¨¦bec,CA-QC,0.04,28.08,99.99,99.92,hydroquebec.com,FALSE,
2023/1/3 3:00,Canada,Qu¨¦bec,CA-QC,0.04,28.13,99.99,99.89,hydroquebec.com,FALSE,
2023/1/3 4:00,Canada,Qu¨¦bec,CA-QC,0.04,28.25,99.99,99.86,hydroquebec.com,FALSE,
2023/1/3 5:00,Canada,Qu¨¦bec,CA-QC,0.12,28.42,99.97,99.37,hydroquebec.com,FALSE,
2023/1/3 6:00,Canada,Qu¨¦bec,CA-QC,0.17,28.54,99.95,99.25,hydroquebec.com,FALSE,
2023/1/3 7:00,Canada,Qu¨¦bec,CA-QC,0.26,28.61,99.93,98.9,hydroquebec.com,FALSE,
2023/1/3 8:00,Canada,Qu¨¦bec,CA-QC,0.19,28.59,99.95,99.05,hydroquebec.com,FALSE,
2023/1/3 9:00,Canada,Qu¨¦bec,CA-QC,0.31,28.57,99.92,98.39,hydroquebec.com,FALSE,
2023/1/3 10:00,Canada,Qu¨¦bec,CA-QC,0.09,28.54,99.98,99.65,hydroquebec.com,FALSE,
2023/1/3 11:00,Canada,Qu¨¦bec,CA-QC,0.04,28.33,99.99,99.91,hydroquebec.com,FALSE,
2023/1/3 12:00,Canada,Qu¨¦bec,CA-QC,0.06,28.17,99.98,99.9,hydroquebec.com,FALSE,
2023/1/3 13:00,Canada,Qu¨¦bec,CA-QC,0.06,28.04,99.98,99.91,hydroquebec.com,FALSE,
2023/1/3 14:00,Canada,Qu¨¦bec,CA-QC,0.06,27.97,99.98,99.91,hydroquebec.com,FALSE,
2023/1/3 15:00,Canada,Qu¨¦bec,CA-QC,0,27.86,100,100,hydroquebec.com,FALSE,
2023/1/3 16:00,Canada,Qu¨¦bec,CA-QC,0.15,27.99,99.96,99.96,hydroquebec.com,FALSE,
2023/1/3 17:00,Canada,Qu¨¦bec,CA-QC,0.16,28.05,99.96,99.96,hydroquebec.com,FALSE,
